,orthography,phonology,Class,gender,gender_numeric
6983,Beschattung,b@S&tUN,N,v.,2.0
6984,beschauen,b@SB@n,V,,
6985,Beschauer,b@SB@r,N,m.,1.0
6986,beschaulich,b@SBlIx,A,,
6987,beschaeumen,b@SXm@n,V,,
6988,Bescheid,b@SWt,N,m.,1.0
6989,bescheiden,b@SWd@n,A,,
6990,Bescheidenheit,b@SWd@nhWt,N,v.,2.0
6991,bescheinen,b@SWn@n,V,,
6992,bescheinigen,b@SWnIg@n,V,,
6993,Bescheinigung,b@SWnIgUN,N,v.,2.0
6994,beschenken,b@SENk@n,V,,
6995,bescheren,b@Ser@n,V,,
6996,bescheuert,b@SX@rt,A,,
6997,beschichten,b@SIxt@n,V,,
6998,beschicken,b@SIk@n,V,,
6999,beschieden,b@Sid@n,A,,
7000,beschiessen,b@Sis@n,V,,
7001,beschildern,b@SIld@rn,V,,
7002,Beschilderung,b@SIld@rUN,N,v.,2.0
7003,beschimpfen,b@SIm+@n,V,,
7004,beschirmen,b@SIrm@n,V,,
7005,beschlabbern,b@Sl&b@rn,V,,
7006,beschlafen,b@Slaf@n,V,,
7007,beschlagen,b@Slag@n,V,,
7008,Beschlag,b@Slak,N,m.,1.0
7009,beschlagnahmen,b@Slaknam@n,V,,
7010,Beschlagnahme,b@Slaknam@,N,v.,2.0
7011,beschleichen,b@SlWx@n,V,,
7012,beschleunigen,b@SlXnIg@n,V,,
7013,Beschleunigung,b@SlXnIgUN,N,v.,2.0
7014,beschliessen,b@Slis@n,V,,
7015,Beschluss,b@SlUs,N,m.,1.0
7016,beschlussfaehig,b@SlUsf)Ix,A,,
7017,Beschlussfassung,b@SlUsf&sUN,N,v.,2.0
7018,beschmeissen,b@SmWs@n,V,,
7019,beschmieren,b@Smir@n,V,,
7020,beschmutzen,b@SmU=@n,V,,
7021,beschneien,b@SnW@n,V,,
7022,beschneiden,b@SnWd@n,V,,
7023,Beschneidung,b@SnWdUN,N,v.,2.0
7024,beschnuppern,b@SnUp@rn,V,,
7025,bescholten,b@SOlt@n,A,,
7026,beschoenigen,b@S|nIg@n,V,,
7027,beschottern,b@SOt@rn,V,,
7028,beschraenken,b@SrENk@n,V,,
7029,beschrankt,b@Sr&Nkt,A,,
7030,beschraenkt,b@SrENkt,A,,
7031,Beschraenktheit,b@SrENkthWt,N,v.,2.0
7032,Beschraenkung,b@SrENkUN,N,v.,2.0
7033,beschreien,b@SrW@n,V,,
7034,beschreiben,b@SrWb@n,V,,
7035,beschreibbar,b@SrWpbar,A,,
7036,Beschreibung,b@SrWbUN,N,v.,2.0
7037,beschreiten,b@SrWt@n,V,,
7038,beschriften,b@SrIft@n,V,,
7039,beschuhen,b@Su@n,V,,
7040,beschulen,b@Sul@n,V,,
7041,beschuldigen,b@SUldIg@n,V,,
7042,Beschuldigung,b@SUldIgUN,N,v.,2.0
7043,Beschulung,b@SulUN,N,v.,2.0
7044,beschummeln,b@SUm@ln,V,,
7045,beschuppen,b@SUp@n,V,,
7046,beschuppt,b@SUpt,A,,
7047,beschuerzt,b@SYr=t,A,,
7048,Beschuss,b@SUs,N,m.,1.0
7049,beschuetzen,b@SY=@n,V,,
7050,beschwatzen,b@Sv&=@n,V,,
7051,beschwaetzen,b@SvE=@n,V,,
7052,beschweren,b@Sver@n,V,,
7053,Beschwer,b@Sver,N,v.,23.0
7054,Beschwerde,b@Sverd@,N,v.,2.0
7055,beschwerdefrei,b@Sverd@frW,A,,
7056,beschwerlich,b@SverlIx,A,,
7057,Beschwernis,b@SvernIs,N,v.,2.0
7058,beschwichtigen,b@SvIxtIg@n,V,,
7059,beschwindeln,b@SvInd@ln,V,,
7060,beschwingen,b@SvIN@n,V,,
7061,beschwipst,b@SvIpst,V,,
7062,beschwipst,b@SvIpst,A,,
7063,beschwoeren,b@Sv|r@n,V,,
7064,Beschwoerer,b@Sv|r@r,N,m.,1.0
7065,Beschwoerung,b@Sv|rUN,N,v.,2.0
7066,beseelen,b@zel@n,V,,
7067,beseelt,b@zelt,A,,
7068,besehen,b@ze@n,V,,
7069,beseitigen,b@zWtIg@n,V,,
7070,Beseitigung,b@zWtIgUN,N,v.,2.0
7071,beseligen,b@zelIg@n,V,,
7072,beseligt,b@zelIxt,A,,
7073,Besen,bez@n,N,m.,1.0
7074,Besenkammer,bez@nk&m@r,N,v.,2.0
7075,Besenstiel,bez@nStil,N,m.,1.0
7076,besessen,b@zEs@n,A,,
7077,besetzen,b@zE=@n,V,,
7078,Besetzung,b@zE=UN,N,v.,2.0
7079,besichtigen,b@zIxtIg@n,V,,
7080,Besichtigung,b@zIxtIgUN,N,v.,2.0
7081,besiedeln,b@zid@ln,V,,
7082,Besiedlung,b@zidlUN,N,v.,2.0
7083,besiegen,b@zig@n,V,,
7084,besiegbar,b@zikbar,A,,
7085,besiegeln,b@zig@ln,V,,
7086,Besiegelung,b@zig@lUN,N,v.,2.0
7087,besieglich,b@ziklIx,A,,
7088,besingen,b@zIN@n,V,,
7089,besinnen,b@zIn@n,V,,
7090,besinnlich,b@zInlIx,A,,
7091,Besinnlichkeit,b@zInlIxkWt,N,v.,2.0
7092,Besinnung,b@zInUN,N,v.,2.0
7093,besinnungslos,b@zInUNslos,A,,
7094,besitzen,b@zI=@n,V,,
7095,Besitz,b@zI=,N,m.,1.0
7096,Besitzer,b@zI=@r,N,m.,1.0
7097,besitzlos,b@zI=los,A,,
7098,Besitzlosigkeit,b@zI=lozIxkWt,N,v.,2.0
7099,besoffen,b@zOf@n,A,,
7100,besohlen,b@zol@n,V,,
7101,Besohlung,b@zolUN,N,v.,2.0
7102,besolden,b@zOld@n,V,,
7103,Besoldung,b@zOldUN,N,v.,2.0
7104,besondere,b@zOnd@r@,A,,
7105,besonderes,b@zOnd@r@s,A,,
7106,Besonderheit,b@zOnd@rhWt,N,v.,2.0
7107,besonders,b@zOnd@rs,ADV,,
7108,besonnen,b@zOn@n,A,,
7109,Besonnenheit,b@zOn@nhWt,N,v.,2.0
7110,besorgen,b@zOrg@n,V,,
7111,Besorgnis,b@zOrknIs,N,v.,2.0
7112,besorgniserregend,b@zOrknIsErreg@nt,A,,
7113,besorgt,b@zOrkt,A,,
7114,Besorgtheit,b@zOrkthWt,N,v.,2.0
7115,Besorgung,b@zOrgUN,N,v.,2.0
7116,bespannen,b@Sp&n@n,V,,
7117,bespeien,b@SpW@n,V,,
7118,bespickt,b@SpIkt,A,,
7119,bespiegeln,b@Spig@ln,V,,
7120,bespielen,b@Spil@n,V,,
7121,bespielbar,b@Spilbar,A,,
7122,bespiken,b@SpWk@n,V,,
7123,bespitzeln,b@SpI=@ln,V,,
7124,bespotten,b@SpOt@n,V,,
7125,bespoetteln,b@Sp/t@ln,V,,
7126,besprechen,b@SprEx@n,V,,
7127,Besprechung,b@SprExUN,N,v.,2.0
7128,besprengen,b@SprEN@n,V,,
7129,besprenkeln,b@SprENk@ln,V,,
7130,bespringen,b@SprIN@n,V,,
7131,bespritzen,b@SprI=@n,V,,
7132,bespruehen,b@Spry@n,V,,
7133,bespucken,b@SpUk@n,V,,
7134,besser,bEs@r,A,,
7135,bessern,bEs@rn,V,,
7136,bessergehen,bEs@rge@n,V,,
7137,besserstellen,bEs@rStEl@n,V,,
7138,Besserung,bEs@rUN,N,v.,2.0
7139,Besserwisser,bEs@rvIs@r,N,m.,1.0
7140,besserwisserisch,bEs@rvIs@rIS,A,,
7141,best,bEst,A,,
7142,bestallen,b@St&l@n,V,,
7143,Bestallung,b@St&lUN,N,v.,2.0
7144,Bestand,b@St&nt,N,m.,1.0
7145,bestanden,b@St&nd@n,A,,
7146,bestaendig,b@StEndIx,A,,
7147,Bestaendigkeit,b@StEndIxkWt,N,v.,2.0
7148,Bestandsaufnahme,b@St&n=Bfnam@,N,v.,2.0
7149,Bestandteil,b@St&nttWl,N,m.,1.0
7150,bestaerken,b@StErk@n,V,,
7151,bestaetigen,b@St)tIg@n,V,,
7152,Bestaetigung,b@St)tIgUN,N,v.,2.0
7153,bestatten,b@St&t@n,V,,
7154,Bestattung,b@St&tUN,N,v.,2.0
7155,bestauben,b@StBb@n,V,,
7156,bestaeuben,b@StXb@n,V,,
7157,Bestaeubung,b@StXbUN,N,v.,2.0
7158,bestechen,b@StEx@n,V,,
7159,bestechlich,b@StExlIx,A,,
7160,Bestechung,b@StExUN,N,v.,2.0
7161,Bestechungsgeld,b@StExUNsgElt,N,o.,3.0
7162,bestecken,b@StEk@n,V,,
7163,Besteck,b@StEk,N,o.,3.0
7164,Besteg,b@stek,N,m.,1.0
7165,bestehen,b@Ste@n,V,,
7166,bestehlen,b@Stel@n,V,,
7167,besteigen,b@StWg@n,V,,
7168,Besteigung,b@StWgUN,N,v.,2.0
7169,bestellen,b@StEl@n,V,,
7170,Bestellung,b@StElUN,N,v.,2.0
7171,bestenfalls,bEst@nf&ls,ADV,,
7172,bestens,bEst@ns,ADV,,
7173,besternt,b@StErnt,V,,
7174,besternt,b@StErnt,A,,
7175,besteuern,b@StX@rn,V,,
7176,Besteuerung,b@StX@rUN,N,v.,2.0
7177,bestialisch,bEstialIS,A,,
7178,Bestialitaet,bEsti&lit)t,N,v.,2.0
7179,besticken,b@StIk@n,V,,
7180,Bestie,bEsti@,N,v.,2.0
7181,bestiefelt,b@Stif@lt,A,,
7182,bestimmen,b@StIm@n,V,,
7183,bestimmbar,b@StImbar,A,,
7184,bestimmt,b@StImt,A,,
7185,Bestimmung,b@StImUN,N,v.,2.0
7186,bestimmungsgemaess,b@StImUNsg@m)s,ADV,,
7187,Bestimmungshafen,b@StImUNshaf@n,N,m.,1.0
7188,bestirnt,b@StIrnt,A,,
7189,Bestmann,bEstm&n,N,m.,1.0
7190,bestmoeglich,bEstm|klIx,A,,
7191,bestocken,b@StOk@n,V,,
7192,bestrafen,b@Straf@n,V,,
7193,Bestrafung,b@StrafUN,N,v.,2.0
7194,bestrahlen,b@Stral@n,V,,
7195,Bestrahlung,b@StralUN,N,v.,2.0
7196,bestreben,b@Streb@n,V,,
7197,Bestrebung,b@StrebUN,N,v.,2.0
7198,bestreichen,b@StrWx@n,V,,
7199,bestreiken,b@StrWk@n,V,,
7200,bestreiten,b@StrWt@n,V,,
7201,bestreitbar,b@StrWtbar,A,,
7202,bestreuen,b@StrX@n,V,,
7203,bestricken,b@StrIk@n,V,,
7204,Bestseller,bEstzEl@r,N,m.,1.0
7205,bestuecken,b@StYk@n,V,,
7206,Bestueckung,b@StYkUN,N,v.,2.0
7207,bestuermen,b@StYrm@n,V,,
7208,bestuerzen,b@StYr=@n,V,,
7209,bestuerzt,b@StYr=t,A,,
7210,besuchen,b@zux@n,V,,
7211,Besuch,b@zux,N,m.,1.0
7212,Besucher,b@zux@r,N,m.,1.0
7213,besudeln,b@zud@ln,V,,
7214,beten,bet@n,V,,
7215,Beta,bet&,N,o.,3.0
7216,betagt,b@takt,A,,
7217,Betagtheit,b@takthWt,N,v.,2.0
7218,betakeln,b@tak@ln,V,,
7219,Betakelung,b@tak@lUN,N,v.,2.0
7220,betanken,b@t&Nk@n,V,,
7221,betasten,b@t&st@n,V,,
7222,betaetigen,b@t)tIg@n,V,,
7223,Betaetigung,b@t)tIgUN,N,v.,2.0
7224,Betaetigungsfeld,b@t)tIgUNsfElt,N,o.,3.0
7225,betauen,b@tB@n,V,,
7226,betaeuben,b@tXb@n,V,,
7227,Betazerfall,bet&=Erf&l,N,m.,1.0
7228,beteiligen,b@tWlIg@n,V,,
7229,Beteiligung,b@tWlIgUN,N,v.,2.0
7230,Betel,bet@l,N,m.,1.0
7231,beteuern,b@tX@rn,V,,
7232,Beteuerung,b@tX@rUN,N,v.,2.0
7233,betexten,b@tEkst@n,V,,
7234,betiteln,b@tit@ln,V,,
7235,betonen,b@ton@n,V,,
7236,Beton,b@tOn,N,m.,1.0
7237,betonieren,b@tonir@n,V,,
7238,betonnen,b@tOn@n,V,,
7239,betont,b@tont,A,,
7240,betontermassen,b@tont@rmas@n,ADV,,
7241,Betonung,b@tonUN,N,v.,2.0
7242,betoeren,b@t|r@n,V,,
7243,betrachten,b@tr&xt@n,V,,
7244,Betracht,b@tr&xt,N,m.,1.0
7245,betraechtlich,b@trExtlIx,A,,
7246,Betrachtung,b@tr&xtUN,N,v.,2.0
7247,Betrachtungsweise,b@tr&xtUNsvWz@,N,v.,2.0
7248,betragen,b@trag@n,V,,
7249,Betrag,b@trak,N,m.,1.0
7250,Betragen,b@trag@n,N,o.,3.0
7251,betrauen,b@trB@n,V,,
7252,betrauern,b@trB@rn,V,,
7253,betraeufeln,b@trXf@ln,V,,
7254,betreffen,b@trEf@n,V,,
7255,Betreff,b@trEf,N,m.,1.0
7256,betreiben,b@trWb@n,V,,
7257,Betreiben,b@trWb@n,N,o.,3.0
7258,betreten,b@tret@n,V,,
7259,betreuen,b@trX@n,V,,
7260,Betreuung,b@trXUN,N,v.,2.0
7261,Betrieb,b@trip,N,m.,1.0
7262,betrieblich,b@triplIx,A,,
7263,betriebsam,b@tripzam,A,,
7264,Betriebsamkeit,b@tripzamkWt,N,v.,2.0
7265,betriebseigen,b@tripsWg@n,A,,
7266,betriebsintern,b@tripsIntErn,A,,
7267,betriebsspezifisch,b@tripsSpe=ifIS,A,,
7268,betriebswirtschaftlich,b@tripsvIrtS&ftlIx,A,,
7269,betrinken,b@trINk@n,V,,
7270,betroffen,b@trOf@n,A,,
7271,betrueben,b@tryb@n,V,,
7272,betrueblich,b@tryplIx,A,,
7273,Betruebnis,b@trypnIs,N,v.,2.0
7274,betruebt,b@trypt,A,,
7275,betruegen,b@tryg@n,V,,
7276,Betrug,b@truk,N,m.,1.0
7277,betrunken,b@trUNk@n,A,,
7278,betten,bEt@n,V,,
7279,Bett,bEt,N,o.,3.0
7280,Bettag,bettak,N,m.,1.0
7281,betteln,bEt@ln,V,,
7282,Bettelei,bEt@lW,N,v.,2.0
7283,Bettler,bEtl@r,N,m.,1.0
7284,Bettuch,bEttux,N,o.,3.0
7285,Bettwaesche,bEtvES@,N,v.,2.0
7286,betun,b@tun,V,,
7287,betucht,b@tuxt,A,,
7288,betulich,b@tulIx,A,,
7289,betupfen,b@tU+@n,V,,
7290,beugen,bXg@n,V,,
7291,beugbar,bXkbar,A,,
7292,Beuge,bXg@,N,v.,2.0
7293,beugsam,bXkzam,A,,
7294,beulen,bXl@n,V,,
7295,Beule,bXl@,N,v.,2.0
7296,Beulenpest,bXl@npEst,N,v.,2.0
7297,beulig,bXlIx,A,,
7298,beunruhigen,b@UnruIg@n,V,,
7299,beurkunden,b@urkUnd@n,V,,
7300,beurlauben,b@urlBb@n,V,,
7301,beurteilen,b@UrtWl@n,V,,
7302,Beurteiler,b@UrtWl@r,N,m.,1.0
7303,Beurteilung,b@UrtWlUN,N,v.,2.0
7304,Beute,bXt@,N,v.,2.0
7305,beutegierig,bXt@girIx,A,,
7306,beuteln,bXt@ln,V,,
7307,Beutel,bXt@l,N,m.,1.0
7308,bevoelkern,b@f/lk@rn,V,,
7309,Bevoelkerung,b@f/lk@rUN,N,v.,2.0
7310,Bevoelkerungsdichte,b@f/lk@rUNsdIxt@,N,v.,2.0
7311,bevollmaechtigen,b@fOlmExtIg@n,V,,
7312,bevor,b@for,C,,
7313,bevormunden,b@formUnd@n,V,,
7314,Bevormundung,b@formUndUN,N,v.,2.0
7315,bevorraten,b@forrat@n,V,,
7316,bevorrechten,b@forrExt@n,V,,
7317,bevorschussen,b@forSUs@n,V,,
7318,bevorstehen,b@forSte@n,V,,
7319,bevorteilen,b@fortWl@n,V,,
7320,bevorworten,b@forvOrt@n,V,,
7321,bevorzugen,b@for=ug@n,V,,
7322,Bevorzugung,b@for=ugUN,N,v.,2.0
7323,bewachen,b@v&x@n,V,,
7324,bewachsen,b@v&ks@n,V,,
7325,bewaffnen,b@v&fn@n,V,,
7326,bewahren,b@var@n,V,,
7327,bewaehren,b@v)r@n,V,,
7328,Bewahrer,b@var@r,N,m.,1.0
7329,Bewaehrung,b@v)rUN,N,v.,2.0
7330,bewalden,b@v&ld@n,V,,
7331,Bewaldung,b@v&ldUN,N,v.,2.0
7332,bewaeltigen,b@vEltIg@n,V,,
7333,Bewaeltigung,b@vEltIgUN,N,v.,2.0
7334,bewandern,b@v&nd@rn,V,,
7335,bewandert,b@v&nd@rt,A,,
7336,bewandt,b@v&nt,A,,
7337,bewaessern,b@vEs@rn,V,,
7338,bewegen,b@veg@n,V,,
7339,bewegen,b@veg@n,V,,
7340,Beweggrund,b@vekgrUnt,N,m.,1.0
7341,beweglich,b@veklIx,A,,
7342,Bewegung,b@vegUN,N,v.,2.0
7343,Bewegungsablauf,b@vegUNs&plBf,N,m.,1.0
7344,Bewegungsfreiheit,b@vegUNsfrWhWt,N,v.,2.0
7345,bewehren,b@ver@n,V,,
7346,Bewehrung,b@verUN,N,v.,2.0
7347,beweiden,b@vWd@n,V,,
7348,beweihraeuchern,b@vWrXx@rn,V,,
7349,beweinen,b@vWn@n,V,,
7350,beweisen,b@vWz@n,V,,
7351,Beweis,b@vWs,N,m.,1.0
7352,Beweisaufnahme,b@vWsBfnam@,N,v.,2.0
7353,Beweisfuehrung,b@vWsfyrUN,N,v.,2.0
7354,bewenden,b@vEnd@n,V,,
7355,bewerben,b@vErb@n,V,,
7356,Bewerber,b@vErb@r,N,m.,1.0
7357,Bewerbung,b@vErbUN,N,v.,2.0
7358,bewerfen,b@vErf@n,V,,
7359,bewerkstelligen,b@vErkStElIg@n,V,,
7360,bewerten,b@vert@n,V,,
7361,Bewertung,b@vertUN,N,v.,2.0
7362,bewickeln,b@vIk@ln,V,,
7363,bewilligen,b@vIlIg@n,V,,
7364,Bewilligung,b@vIlIgUN,N,v.,2.0
7365,bewillkommnen,b@vIlkOmn@n,V,,
7366,bewimpert,b@vImp@rt,A,,
7367,bewirken,b@vIrk@n,V,,
7368,bewirten,b@vIrt@n,V,,
7369,bewirtschaften,b@vIrtS&ft@n,V,,
7370,Bewirtung,b@vIrtUN,N,v.,2.0
7371,bewitzeln,b@vI=@ln,V,,
7372,bewohnen,b@von@n,V,,
7373,bewohnbar,b@vonbar,A,,
7374,Bewohner,b@von@r,N,m.,1.0
7375,Bewohnerschaft,b@von@rS&ft,N,v.,2.0
7376,bewoelken,b@v/lk@n,V,,
7377,bewoelkt,b@v/lkt,A,,
7378,bewuchern,b@vux@rn,V,,
7379,Bewuchs,b@vuks,N,m.,1.0
7380,bewundern,b@vUnd@rn,V,,
7381,Bewunderer,b@vUnd@r@r,N,m.,1.0
7382,Bewunderung,b@vUnd@rUN,N,v.,2.0
7383,bewunderungswuerdig,b@vUnd@rUNsvYrdIx,A,,
7384,Bewurf,b@vUrf,N,m.,1.0
7385,bewurzeln,b@vUr=@ln,V,,
7386,bewusst,b@vUst,A,,
7387,Bewusstheit,b@vUsthWt,N,v.,2.0
7388,bewusstlos,b@vUstlos,A,,
7389,Bewusstlosigkeit,b@vUstlozIxkWt,N,v.,2.0
7390,Bewusstsein,b@vUstzWn,N,o.,3.0
7391,Bewusstseinsbildung,b@vUstzWnsbIldUN,N,v.,2.0
7392,bezahlen,b@=al@n,V,,
7393,bezahlbar,b@=albar,A,,
7394,Bezahlung,b@=alUN,N,v.,2.0
7395,bezaehmen,b@=)m@n,V,,
7396,bezaehmbar,b@=)mbar,A,,
7397,bezaubern,b@=Bb@rn,V,,
7398,Bezauberung,b@=Bb@rUN,N,v.,2.0
7399,bezecht,b@zExt,V,,
7400,bezecht,b@=Ext,A,,
7401,bezeichnen,b@=Wxn@n,V,,
7402,bezeichnenderweise,b@=Wxn@nd@rvWz@,ADV,,
7403,Bezeichnung,b@=WxnUN,N,v.,2.0
7404,bezeigen,b@=Wg@n,V,,
7405,Bezeigung,b@=WgUN,N,v.,2.0
7406,bezeugen,b@=Xg@n,V,,
7407,bezichtigen,b@=IxtIg@n,V,,
7408,Bezichtigung,b@=IxtIgUN,N,v.,2.0
7409,beziehen,b@=i@n,V,,
7410,beziehbar,b@=ibar,A,,
7411,beziehentlich,b@=i@ntlIx,PREP,,
7412,Beziehung,b@=iUN,N,v.,2.0
7413,beziehungslos,b@=iUNslos,A,,
7414,Beziehungslosigkeit,b@=iUNslozIxkWt,N,v.,2.0
7415,beziffern,b@=If@rn,V,,
7416,Bezirk,b@=Irk,N,m.,1.0
7417,bezirklich,b@=IrklIx,A,,
7418,bezirzen,b@=Ir=@n,V,,
7419,Bezogene,b@=og@n@,N,v.,21.0
7420,Bezogenheit,b@=og@nhWt,N,v.,2.0
7421,Bezug,b@=uk,N,m.,1.0
7422,bezueglich,b@=yklIx,A,,
7423,bezueglich,b@=yklIx,PREP,,
7424,Bezugnahme,b@=uknam@,N,v.,2.0
7425,bezuschussen,b@=uSUs@n,V,,
7426,bezwecken,b@=vEk@n,V,,
7427,bezweifeln,b@=vWf@ln,V,,
7428,bezweifelbar,b@=vWf@lbar,A,,
7429,bezwingen,b@=vIN@n,V,,
7430,bezwingbar,b@=vINbar,A,,
7431,bezwinglich,b@=vINlIx,A,,
7432,bezwungen,b@=vUN@n,A,,
7433,bibbern,bIb@rn,V,,
7434,Bibel,bib@l,N,v.,2.0
7435,bibelfest,bib@lfEst,A,,
7436,Biber,bib@r,N,o.,3.0
7437,Biber,bib@r,N,m.,1.0
7438,Bibliograph,bibliograf,N,m.,1.0
7439,Bibliographie,bibliogr&fi,N,v.,2.0
7440,bibliographieren,bibliogr&fir@n,V,,
7441,bibliographisch,bibliografIS,A,,
7442,Bibliomane,biblioman@,N,m.,1.0
7443,bibliophil,bibliofil,A,,
7444,Bibliothek,bibliotek,N,v.,2.0
7445,Bibliothekar,bibliotekar,N,m.,1.0
7446,biblisch,biblIS,A,,
7447,Bidet,bide,N,o.,3.0
7448,bieder,bid@r,A,,
7449,Biederkeit,bid@rkWt,N,v.,2.0
7450,Biedermeier,bid@rmW@r,N,o.,3.0
7451,biedermeisterlich,bid@rmWst@rlIx,A,,
7452,Biedersinn,bid@rzIn,N,m.,1.0
7453,biegen,big@n,V,,
7454,biegbar,bikbar,A,,
7455,Biege,big@,N,v.,2.0
7456,biegsam,bikzam,A,,
7457,Biegung,bigUN,N,v.,2.0
7458,Bien,bin,N,m.,1.0
7459,Bienchen,binx@n,N,o.,3.0
7460,Biene,bin@,N,v.,2.0
7461,bienenhaft,bin@nh&ft,A,,
7462,Bienenstock,bin@nStOk,N,m.,1.0
7463,Bienlein,binlWn,N,o.,3.0
7464,Bier,bir,N,o.,3.0
7465,Bierdeckel,birdEk@l,N,m.,1.0
7466,Bierfass,birf&s,N,o.,3.0
7467,Biese,biz@,N,v.,2.0
7468,Biest,bist,N,o.,3.0
7469,biestern,bist@rn,V,,
7470,Biesterei,bist@rW,N,v.,2.0
7471,bieten,bit@n,V,,
7472,bietbar,bitbar,A,,
7473,Bieter,bit@r,N,m.,1.0
7474,Bifokalglas,bifokalglas,N,o.,3.0
7475,Bigamie,big&mi,N,v.,2.0
7476,bigott,bigOt,A,,
7477,Bikarbonat,bik&rbonat,N,o.,3.0
7478,Bikini,bikini,N,m.,1.0
7479,bilabial,bil&bial,A,,
7480,Bilanz,bil&n=,N,v.,2.0
7481,bilanzieren,bil&n=ir@n,V,,
7482,bilateral,bil&teral,A,,
7483,bilden,bIld@n,V,,
7484,Bild,bIlt,N,o.,3.0
7485,Bilderrahmen,bIld@rram@n,N,m.,1.0
7486,Bilderstuermerei,bIld@rStYrm@rW,N,v.,2.0
7487,bildhaft,bIlth&ft,A,,
7488,bildhauern,bIlthB@rn,V,,
7489,Bildhauer,bIlthB@r,N,m.,1.0
7490,bildhuebsch,bIlthypS,A,,
7491,bildkraeftig,bIltkrEftIx,A,,
7492,bildlich,bIltlIx,A,,
7493,bildmaessig,bIltm)sIx,A,,
7494,bildnerisch,bIldn@rIS,A,,
7495,Bildnis,bIltnIs,N,o.,3.0
7496,Bildschirm,bIltSIrm,N,m.,1.0
7497,Bildung,bIldUN,N,v.,2.0
7498,Bildungsarbeit,bIldUNs&rbWt,N,v.,2.0
7499,Bildungsauftrag,bIldUNsBftrak,N,m.,1.0
7500,Bildungseinrichtung,bIldUNsWnrIxtUN,N,v.,2.0
7501,bildungsfaehig,bIldUNsf)Ix,A,,
7502,Bildungsforschung,bIldUNsfOrSUN,N,v.,2.0
7503,Bildungsideal,bIldUNsideal,N,o.,3.0
7504,Bildungsplan,bIldUNsplan,N,m.,1.0
7505,Bildungsplanung,bIldUNsplanUN,N,v.,2.0
7506,Bildungspolitik,bIldUNspolitik,N,v.,2.0
7507,Bildungspolitiker,bIldUNspolitik@r,N,m.,1.0
7508,bildungspolitisch,bIldUNspolitIS,A,,
7509,Bildungsprogramm,bIldUNsprogr&m,N,o.,3.0
7510,Bildungsprozess,bIldUNspro=Es,N,m.,1.0
7511,Bildungssektor,bIldUNszEktOr,N,m.,1.0
7512,Bildungssystem,bIldUNszYstem,N,o.,3.0
7513,Bildungsweg,bIldUNsvek,N,m.,1.0
7514,Bildungswesen,bIldUNsvez@n,N,o.,3.0
7515,Bildungsziel,bIldUNs=il,N,o.,3.0
7516,Bilge,bIlg@,N,v.,2.0
7517,bilingual,bilINgual,A,,
7518,Billard,bIlj&rt,N,o.,3.0
7519,billardieren,bIlj&rdir@n,V,,
7520,Billardqueue,bIlj&rtk|,N,o.,3.0
7521,Billeteur,bIljEt|r,N,m.,1.0
7522,Billett,bIljEt,N,o.,3.0
7523,Billiarde,bIli&rd@,N,v.,2.0
7524,billig,bIlIx,A,,
7525,billigen,bIlIg@n,V,,
7526,billigerweise,bIlIg@rvWz@,ADV,,
7527,Billion,bIlion,N,v.,2.0
7528,Bilsenkraut,bIlz@nkrBt,N,o.,3.0
7529,Bimbam,bImb&m,N,m.,1.0
7530,Bimetall,bimEt&l,N,o.,3.0
7531,bimmeln,bIm@ln,V,,
7532,Bimmel,bIm@l,N,v.,2.0
7533,Bimmelbahn,bIm@lban,N,v.,2.0
7534,bimsen,bImz@n,V,,
7535,binaer,bin)r,A,,
7536,binar,binar,A,,
7537,binarisch,binarIS,A,,
7538,binden,bInd@n,V,,
7539,Binde,bInd@,N,v.,2.0
7540,Bindeglied,bInd@glit,N,o.,3.0
7541,Bindemittel,bInd@mIt@l,N,o.,3.0
7542,Binder,bInd@r,N,m.,1.0
7543,Bindfaden,bIntfad@n,N,m.,1.0
7544,bindig,bIndIx,A,,
7545,Bindung,bIndUN,N,v.,2.0
7546,Binge,bIN@,N,v.,2.0
7547,Bingelkraut,bIN@lkrBt,N,o.,3.0
7548,binnen,bIn@n,PREP,,
7549,binnenbords,bIn@nbOr=,ADV,,
7550,Binnenhandel,bIn@nh&nd@l,N,m.,1.0
7551,Binnenmeer,bIn@nmer,N,o.,3.0
7552,Binnensee,bIn@nze,N,m.,1.0
7553,Binokel,binok@l,N,o.,3.0
7554,Binokel,binok@l,N,o.,31.0
7555,Binom,binom,N,o.,3.0
7556,Binomialkoeffizient,binomialkoEfi=iEnt,N,m.,1.0
7557,Binse,bInz@,N,v.,2.0
7558,Binsenwahrheit,bInz@nvarhWt,N,v.,2.0
7559,bioaktiv,bio&ktif,A,,
7560,Biochemie,bioxemi,N,v.,2.0
7561,biochemisch,bioxemIS,A,,
7562,biodynamisch,biodynamIS,A,,
7563,biogen,biogen,A,,
7564,Biogenese,biogenez@,N,v.,2.0
7565,Biograph,biograf,N,m.,1.0
7566,Biographie,biogr&fi,N,v.,2.0
7567,biographisch,biografIS,A,,
7568,Biologe,biolog@,N,m.,1.0
7569,Biologie,biologi,N,v.,2.0
7570,biologisch,biologIS,A,,
7571,Biometrie,biometri,N,v.,2.0
7572,Bionik,bionIk,N,v.,2.0
7573,Biosphaere,biosf)r@,N,v.,2.0
7574,biotisch,biotIS,A,,
7575,Biotop,biotop,N,m.,1.0
