,orthography,phonology,Class,gender,gender_numeric
72,Abdachung,&pd&xUN,N,v.,2.0
73,abdampfen,&pd&m+@n,V,,
74,abdaempfen,&pdEm+@n,V,,
75,Abdampf,&pd&m+,N,m.,1.0
76,Abdampfwaerme,&pd&m+vErm@,N,v.,2.0
77,abdanken,&pd&Nk@n,V,,
78,Abdankung,&pd&NkUN,N,v.,2.0
79,abdecken,&pdEk@n,V,,
80,Abdecker,&pdEk@r,N,m.,1.0
81,Abdeckerei,&pdEk@rW,N,v.,2.0
82,Abdeckung,&pdEkUN,N,v.,2.0
83,Abderit,&pderit,N,m.,1.0
84,abderitisch,&pderitIS,A,,
85,abdichten,&pdIxt@n,V,,
86,Abdichtung,&pdIxtUN,N,v.,2.0
87,Abdikation,&pdik&=ion,N,v.,2.0
88,abdingen,&pdIN@n,V,,
89,abdingbar,&pdINbar,A,,
90,Abdomen,&pdom@n,N,o.,3.0
91,abdominal,&pdominal,A,,
92,abdorren,&pdOr@n,V,,
93,abdraengen,&pdrEN@n,V,,
94,abdrehen,&pdre@n,V,,
95,abdreschen,&pdrES@n,V,,
96,Abdrift,&pdrIft,N,v.,2.0
97,abdrosseln,&pdrOs@ln,V,,
98,abdruecken,&pdrYk@n,V,,
99,abdrucken,&pdrUk@n,V,,
100,Abdruck,&pdrUk,N,m.,1.0
101,abducken,&pdUk@n,V,,
102,Abduktion,&pdUk=ion,N,v.,2.0
103,Abduktor,&pdUktOr,N,m.,1.0
104,abduzieren,&pdu=ir@n,V,,
105,abebben,&pEb@n,V,,
106,abeisen,&pWz@n,V,,
107,Abend,ab@nt,N,m.,1.0
108,Abendanzug,ab@nt&n=uk,N,m.,1.0
109,Abendbrot,ab@ntbrot,N,o.,3.0
110,Abenddaemmerung,ab@ntdEm@rUN,N,v.,2.0
111,abendelang,ab@nd@l&N,A,,
112,Abendessen,ab@ntEs@n,N,o.,3.0
113,abendfuellend,ab@ntfYl@nt,A,,
114,Abendgymnasium,ab@ntgYmnaziUm,N,o.,3.0
115,Abendkleid,ab@ntklWt,N,o.,3.0
116,Abendkurs,ab@ntkUrs,N,m.,1.0
117,Abendkursus,ab@ntkUrzUs,N,m.,1.0
118,Abendland,ab@ntl&nt,N,o.,3.0
119,Abendlaender,ab@ntlEnd@r,N,m.,1.0
120,abendlaendisch,ab@ntlEndIS,A,,
121,abendlich,ab@ntlIx,A,,
122,Abendmahl,ab@ntmal,N,o.,3.0
123,Abendprogramm,ab@ntprogr&m,N,o.,3.0
124,Abendrot,ab@ntrot,N,o.,3.0
125,Abendroete,ab@ntr|t@,N,v.,2.0
126,abends,ab@n=,ADV,,
127,abenteuern,ab@ntX@rn,V,,
128,Abenteuer,ab@ntX@r,N,o.,3.0
129,Abenteuerin,ab@ntX@rIn,N,v.,2.0
130,abenteuerlich,ab@ntX@rlIx,A,,
131,Abenteuerlust,ab@ntX@rlUst,N,v.,2.0
132,Abenteurer,ab@ntXr@r,N,m.,1.0
133,Abenteurerin,ab@ntXr@rIn,N,v.,2.0
134,aber,ab@r,C,,
135,aber,ab@r,ADV,,
136,Aberglaube,ab@rglBb@,N,m.,1.0
137,Aberglauben,ab@rglBb@n,N,m.,1.0
